port_locode,country_code,location_code,port_name,function,status,coordinates
JPASM,JP,ASM,Asami,1-------,AF,
JPASR,JP,ASR,Ashizuri,1-------,AF,
JPAST,JP,AST,Ashitoku,1-------,AF,
JPASU,JP,ASU,Kasuya,1----6--,RL,3337N 13029E
JPASW,JP,ASW,Asakawa,1-------,AF,
JPASZ,JP,ASZ,"Ashiya, Fukuoka",1-------,AF,
JPATA,JP,ATA,Ataka,1-3-----,RL,3625N 13625E
JPATK,JP,ATK,Atsuki,1-------,AF,
JPATM,JP,ATM,Atsumi,1-------,AF,
JPATT,JP,ATT,Atatajima,1-------,AF,
JPAUI,JP,AUI,Asakuchi,1----6--,AF,3431N 13335E
JPAWA,JP,AWA,Awa,1-------,AF,
JPAWM,JP,AWM,Awashimanishi,1-------,AF,
JPAWS,JP,AWS,Awashima,1-------,AF,
JPAWZ,JP,AWZ,Awazu,1-------,AF,
JPAXT,JP,AXT,Akita,1--4----,AF,
JPAXZ,JP,AXZ,Zushi,1----6--,AF,3517N 13935E
JPAYU,JP,AYU,Ayukawa,1-------,AF,
JPAZJ,JP,AZJ,"Ajiro, Tottori",1-------,AF,
JPAZR,JP,AZR,"Ajiro, Okayama",1-------,AF,
JPAZU,JP,AZU,Azu,1-------,AF,
JPBDM,JP,BDM,Bohdomari,1-------,AF,
JPBEP,JP,BEP,"Beppu, Shimane",1-------,AF,
JPBFS,JP,BFS,Beppushinko,1-------,AF,
JPBIZ,JP,BIZ,Bizen,1-3-----,RL,3444N 13411E
JPBKW,JP,BKW,Shibukawa,1----6--,RL,3629N 13900E
JPBOM,JP,BOM,Boma,1-------,AF,
JPBPU,JP,BPU,"Beppu, Oita",1--4----,AF,
JPBYO,JP,BYO,Byobu,1-------,AF,
JPCHB,JP,CHB,Chiba,1-------,AF,
JPCHF,JP,CHF,Chofu,1-------,AF,
JPCHG,JP,CHG,Chigasaki,123-----,RL,3519N 13924E
JPCHH,JP,CHH,Chichii,1-------,AF,
JPCHI,JP,CHI,China,1-------,AF,
JPCHK,JP,CHK,Chikubushima,1-------,AF,
JPCHO,JP,CHO,Choshi,1-------,AF,
JPCHT,JP,CHT,"Chitose, Hiroshima",1-------,AF,
JPCHU,JP,CHU,Churui,1-------,AF,
JPCHW,JP,CHW,Chimu Wan,1-------,RL,2623N 12755E
JPCIO,JP,CIO,Chio,1-------,AF,
JPCJU,JP,CJU,Chiju,1-------,AF,
JPCKM,JP,CKM,Chikumi,1-------,AF,
JPCNS,JP,CNS,Chinase,1-------,AF,
JPCTA,JP,CTA,Chita,1-------,AF,
JPCYU,JP,CYU,Chiryu,1----6--,AA,3500N 13703E
JPCYZ,JP,CYZ,Chiyozaki,1-------,AF,
JPDAT,JP,DAT,Date,1-------,AF,
JPDSR,JP,DSR,Dohshiro,1-------,AF,
JPDTU,JP,DTU,Daito,1-------,AF,
JPDZK,JP,DZK,Dohzaki,1-------,AF,
JPEBI,JP,EBI,Ebito,1-------,AF,
JPEGO,JP,EGO,Ego,1-------,AF,
JPEGS,JP,EGS,Eigashima,1-------,AF,
JPEII,JP,EII,Ei,1-------,AF,
JPEIS,JP,EIS,Eishi,1-------,AF,
JPEJM,JP,EJM,Ejima,1-------,AF,
JPEKZ,JP,EKZ,Enokizu,1-------,AF,
JPEMM,JP,EMM,Erimo,1-------,AF,
JPEMU,JP,EMU,Emukae,1-------,AF,
JPENA,JP,ENA,Ena,1-------,AF,
JPENH,JP,ENH,Enohama,1-------,AF,
JPENN,JP,ENN,En,1-------,AF,
JPENO,JP,ENO,"Enoura, Shizuoka",1-------,AF,
JPENR,JP,ENR,"Enoura, Kagawa",1-------,AF,
JPESI,JP,ESI,Esashi/Hiyama,1-------,AF,
JPESK,JP,ESK,Esaki,1-------,AF,
JPESM,JP,ESM,Eshima,1-------,AF,
JPESS,JP,ESS,Esashi/Soya,1-------,AF,
JPETA,JP,ETA,Etajima,1-------,AF,
JPETM,JP,ETM,Etomo,1-------,AF,
JPEZA,JP,EZA,Ezaki,1-------,AF,
JPFAE,JP,FAE,"Fukae, Nagasaki",1-------,AF,
JPFCM,JP,FCM,Fuchinomoto,1-------,AF,
JPFGS,JP,FGS,Fugusaki,1-------,AF,
JPFGW,JP,FGW,Futagawa,1-------,AF,
JPFHR,JP,FHR,Furubira,1-------,AF,
JPFJN,JP,FJN,Fujino,1-------,AF,
JPFKD,JP,FKD,Fukuda,1-------,AF,
JPFKE,JP,FKE,"Fukue, Aichi",1-------,AF,
JPFKH,JP,FKH,"Fukae, Hiroshima",1-------,AF,
JPFKI,JP,FKI,Fukai,1-------,AF,
JPFKJ,JP,FKJ,Fukui,1-------,AF,
JPFKK,JP,FKK,"Fukaura, Aomori",1-------,AF,
JPFKM,JP,FKM,"Fukushima, Nagasaki",1-3-----,AF,3321N 12948E
JPFKR,JP,FKR,"Fukaura, Ehime",1-------,AF,
JPFKU,JP,FKU,"Fukushima, Hokkaido",1-3-----,AF,4128N 14015E
JPFKY,JP,FKY,"Fukuyama, Hiroshima",1-------,AF,
JPFMD,JP,FMD,Futamado,1-------,AF,
JPFMS,JP,FMS,"Fukushima, Miyazaki",1-34----,AF,3128N 13113E
JPFMT,JP,FMT,"Futamata, Kagoshima",1-------,AF,
JPFNA,JP,FNA,Funaya,1-------,AF,
JPFNB,JP,FNB,Funabashi,1-------,AF,
JPFND,JP,FND,Funadomari,1-------,AF,
JPFNK,JP,FNK,Funagawa,1-------,AF,
JPFNR,JP,FNR,Funaura,1-------,AF,
JPFNS,JP,FNS,Funakoshi,1-------,AF,
JPFNU,JP,FNU,Funauki,1-------,AF,
JPFNZ,JP,FNZ,Funazu,1-------,AF,
JPFRA,JP,FRA,"Fukura, Hyogo",1-------,AF,
JPFRE,JP,FRE,"Furue, Nagasaki",1-------,AF,
JPFRI,JP,FRI,Fukari,1-------,AF,
JPFRJ,JP,FRJ,"Fukuura, Ishikawa",1-------,AF,
JPFRK,JP,FRK,Furuike,1-------,AF,
JPFRM,JP,FRM,"Furue, Miyazaki",1-------,AF,
JPFRS,JP,FRS,"Furusato, Nagasaki",1-------,AF,
JPFRU,JP,FRU,"Furue, Kagoshima",1-------,AF,
JPFRX,JP,FRX,"Furue, Ehime",1-------,AF,
JPFSH,JP,FSH,Funakakushi,1-------,AF,
JPFSK,JP,FSK,Fushiki,1-------,AF,
JPFST,JP,FST,"Furusato, Kagoshima",1-3-----,AF,2722N 12838E
JPFTE,JP,FTE,Futae,1-------,AF,
JPFTG,JP,FTG,Futago,1-------,AF,
JPFTM,JP,FTM,Futenma,1-------,AF,
JPFTS,JP,FTS,"Futtsu, Chiba",1-------,RL,3535N 13983E
JPFTT,JP,FTT,"Futamata, Shimane",1-------,AF,
JPFTX,JP,FTX,Fushikitoyama,1-------,RL,3648N 13707E
JPFUA,JP,FUA,"Fukuura, Kumamoto",1-------,AF,
JPFUE,JP,FUE,Fuke,1-------,AF,
JPFUJ,JP,FUJ,"Fukue, Nagasaki",1--4----,AI,
JPFUM,JP,FUM,Fukami,1-------,AF,
JPFUO,JP,FUO,Fukuro,1-------,AF,
JPFUR,JP,FUR,"Fukuura, Ehime",1-------,AF,
JPFUU,JP,FUU,"Fukura, Kagoshima",1-------,AF,
JPFUW,JP,FUW,Fukawa,1-------,AF,
JPFYM,JP,FYM,"Fukuyama, Kagoshima",1-------,AF,
JPGAM,JP,GAM,Gamagori,1-------,AF,
JPGKA,JP,GKA,Gushikawa,1-------,RL,2621N 12752E
JPGKB,JP,GKB,Gohnokubi,1-------,AF,
JPGKN,JP,GKN,Gokan,1-------,AF,
JPGKS,JP,GKS,Gokasho,1-------,AF,
JPGNG,JP,GNG,Gunge,1-------,AF,
JPGNW,JP,GNW,Ginowan,1-------,AF,
JPGOI,JP,GOI,Goi/Ichihara,1-------,AF,
JPGON,JP,GON,Gonoura,1-------,AF,
JPGOO,JP,GOO,Gobo Wakayama,1----6--,AF,3353N 13509E
JPGOT,JP,GOT,Gohtsu,1-------,AF,
JPGPT,JP,GPT,Gendentokai,1-------,AF,
JPGTK,JP,GTK,Kitanagoya,1-------,AA,3514N 13651E
JPGTO,JP,GTO,Goto,1-3-----,RL,3241N 12850E
JPHAA,JP,HAA,Hami,1-------,AF,
JPHAB,JP,HAB,"Habu, Hiroshima",1-------,AF,
JPHAD,JP,HAD,Heda,1-------,AF,
JPHAE,JP,HAE,Haenohama,1-------,AF,
JPHAG,JP,HAG,Hagi,1-------,AF,
JPHAH,JP,HAH,Hashima,1-------,AF,
JPHAI,JP,HAI,Haiki,1-------,AF,
JPHAM,JP,HAM,Hamasarufutsu,1-------,AF,
JPHAN,JP,HAN,Hannan,1-------,AF,
JPHAR,JP,HAR,Hara,1-------,AF,
JPHAS,JP,HAS,Hashihama,1-------,AF,
JPHAU,JP,HAU,"Habu, Tokyo",1-------,AF,
JPHBB,JP,HBB,"Habu, Yamaguchi",1-------,AF,
JPHBK,JP,HBK,Hibikishinko,1-------,RL,3359N 13045E
JPHBO,JP,HBO,Haboro,1-------,AF,
JPHBR,JP,HBR,Hiburi,1-------,AF,
JPHDA,JP,HDA,Handa,1-------,AF,
JPHDK,JP,HDK,Hidaka,1-------,AF,
JPHDO,JP,HDO,Himedo,1-------,AF,
JPHEA,JP,HEA,Hiketa,1-------,AF,
JPHED,JP,HED,Hetono,1-------,AF,
JPHEI,JP,HEI,Henza,1-------,AF,
JPHES,JP,HES,Hesaki,1-------,AF,
JPHET,JP,HET,Heta,1-------,AF,
JPHGH,JP,HGH,Higashihazu,1-------,AF,
JPHGN,JP,HGN,Higashisonogi-Gun Cho,1----6--,RL,3202N 12955E
JPHGO,JP,HGO,Hachigo,1-------,AF,
JPHGS,JP,HGS,Ohshima/Hagi,1-------,AF,
JPHGU,JP,HGU,Hirugaura,1-------,AF,
JPHHE,JP,HHE,Hachinohe,1--4----,AF,
JPHHH,JP,HHH,Higashinohama,1-------,AF,
JPHHM,JP,HHM,Hohomi,1-------,AF,
JPHHR,JP,HHR,Higashiharima,1-------,AF,
JPHIA,JP,HIA,Hiagari/Kitakiushu,1-------,AF,
JPHIB,JP,HIB,Hibi,1-------,AF,
JPHIC,JP,HIC,Hitachinaka,1-------,AF,
JPHIE,JP,HIE,Hikone,1-------,AF,
JPHIG,JP,HIG,Higashishioya,1-------,AF,
JPHII,JP,HII,Hirasaki,1-------,AF,
JPHIJ,JP,HIJ,Hiroshima,1--4----,AF,
JPHIK,JP,HIK,Hiki,1-------,AF,
JPHIM,JP,HIM,Himeji,1-------,AF,
JPHIN,JP,HIN,Hinase,1-------,AF,
JPHIO,JP,HIO,Higashi-Ogishima,1-3-----,AF,
JPHIR,JP,HIR,Hiroo,1-------,AF,
JPHIS,JP,HIS,Hikoshima,1-------,AF,
JPHIU,JP,HIU,Hiratsuka,1-3-----,RL,3519N 13921E
JPHIZ,JP,HIZ,Hizenohshima,1-------,AF,
JPHJA,JP,HJA,Honjima,1-------,AF,
JPHJI,JP,HJI,Hiji,1-------,AF,
JPHJM,JP,HJM,Hamajima,1-------,AF,
JPHJO,JP,HJO,Hojo,1-------,AF,
JPHJR,JP,HJR,Hamajiri,1-------,AF,
JPHJT,JP,HJT,"Hirota, Kagoshima",1-------,AF,
JPHKD,JP,HKD,Hakodate,1--4----,AF,
JPHKJ,JP,HKJ,Hamasaka,1-------,AF,
JPHKK,JP,HKK,Hyakkan,1-------,AF,
JPHKM,JP,HKM,Honkushima,1-------,AF,
JPHKN,JP,HKN,Hekinan,1-------,AF,
JPHKR,JP,HKR,Hikari,1-------,AF,
JPHKS,JP,HKS,Hakatashima,1-------,AF,
JPHKT,JP,HKT,Hakata/Fukuoka,123-5---,AF,3336N 13025E
JPHKU,JP,HKU,Hakoura,1-------,AF,
JPHKW,JP,HKW,Hamakanaya,1-------,AF,
JPHKZ,JP,HKZ,Hikozaki,1-------,AF,
JPHMA,JP,HMA,Hishima,1-------,AF,
JPHMC,JP,HMC,Hamochi,1-------,AF,
JPHMD,JP,HMD,Hamada,1-------,AF,
JPHMG,JP,HMG,Hamaguri,1-------,AF,
JPHMH,JP,HMH,Himeshima,1-------,AF,
JPHMI,JP,HMI,Hatami,1-------,AF,
JPHMJ,JP,HMJ,Himi,1-------,AF,
JPHMK,JP,HMK,Himekawa,1-------,AF,
JPHMM,JP,HMM,Hamamatsu,1-------,AF,
JPHMN,JP,HMN,Hamana,1-------,AF,
JPHMR,JP,HMR,Hamura,1-------,RL,3546N 13918E
JPHMS,JP,HMS,Himosashi,1-------,AF,
JPHMT,JP,HMT,Hikimoto,1-------,AF,
JPHMW,JP,HMW,Hamawaki,1-------,AF,
JPHMX,JP,HMX,Hamasaki,1-------,AF,
JPHNE,JP,HNE,Hane,1-------,AF,
JPHNG,JP,HNG,Hinagu,1-------,AF,
JPHNJ,JP,HNJ,"Honjo, Kyoto",1-------,AF,
JPHNK,JP,HNK,Hanasaki,1-------,AF,
JPHNN,JP,HNN,Honmoku,1-3-----,AF,
JPHNR,JP,HNR,Himenoura,1-------,AF,
JPHNS,JP,HNS,Hinoshima,1-------,AF,
JPHNY,JP,HNY,Hanyu,1-------,AF,
JPHNZ,JP,HNZ,Hinozu,1-------,AF,
JPHOD,JP,HOD,Hondo,1-------,AF,
JPHOF,JP,HOF,Hofu,123-----,QQ,3402N 13134E
JPHON,JP,HON,"Honjo, Akita",1-------,AF,
JPHOS,JP,HOS,"Hoshika, Saga",1-------,AF,
JPHOT,JP,HOT,Hotokegaura,1-------,AF,
JPHPP,JP,HPP,Hoppozaki,1-------,AF,
JPHRA,JP,HRA,Hirao,1-------,AF,
JPHRD,JP,HRD,Hirado,1-------,AF,
JPHRE,JP,HRE,Horie,1-------,AF,
JPHRH,JP,HRH,Hirohata,1-------,AF,
JPHRI,JP,HRI,Horikappu,1-------,AF,
JPHRJ,JP,HRJ,Hirai,1-------,AF,
JPHRK,JP,HRK,Hirakata,1-------,AF,
JPHRM,JP,HRM,Haramachi,1-------,AF,
JPHRO,JP,HRO,Hiro,1-------,AF,
JPHRR,JP,HRR,Hirara,1-------,AF,
JPHRS,JP,HRS,Hirase,1-------,AF,
JPHRU,JP,HRU,Hiroura,1-------,AF,
JPHRW,JP,HRW,Hiraiwa,1-------,AF,
JPHSG,JP,HSG,Saga,1-------,RL,3305N 13306E
JPHSH,JP,HSH,Hashi,1-------,AF,
JPHSI,JP,HSI,"Hoshika, Nagasaki",1-------,AF,
JPHSK,JP,HSK,Hamasako,1-------,AF,
JPHSM,JP,HSM,Hososhima,1-------,AF,
JPHSN,JP,HSN,Hisanohama,1-------,AF,
JPHSR,JP,HSR,Hashirajima,1-------,AF,
JPHSS,JP,HSS,Hase,1-------,AF,
JPHSU,JP,HSU,Hamasuki,1-------,AF,
JPHSW,JP,HSW,Hirasawa,1-------,AF,
JPHTA,JP,HTA,"Hirota, Iwate",1-------,AF,
JPHTC,JP,HTC,Hitachi,1-------,AF,
JPHTK,JP,HTK,Hitakatsu,1-------,AF,
JPHTM,JP,HTM,"Futami, Tokyo",1-------,AF,
JPHTO,JP,HTO,Hatoma,1-------,AF,2428N 12346E
JPHTS,JP,HTS,Hitsushima,1-------,AF,
JPHTT,JP,HTT,Hata,1-------,AF,
JPHUD,JP,HUD,Hoda,1-------,AF,
JPHUR,JP,HUR,Hannoura,1-------,AF,
JPHUT,JP,HUT,"Futami, Niigata",1-------,AF,
JPHWA,JP,HWA,Hamatsuwaki,1-------,AF,
JPHWS,JP,HWS,Hiwasa,1-------,AF,
JPHYG,JP,HYG,Hyugadomari,1-------,AF,
JPHYK,JP,HYK,Hayakawa,1-------,AF,
JPHYM,JP,HYM,Hayama,1-------,AF,
JPHYR,JP,HYR,Hyakunoura,1-------,AF,
JPHYS,JP,HYS,Hisayoshi,1-------,AF,
JPHYT,JP,HYT,Hayato,1-------,AF,
JPIBR,JP,IBR,Iburi,1-------,AF,
JPIBS,JP,IBS,Ibusuki,1-------,AF,
JPICD,JP,ICD,Icchoda,1-------,AF,
JPICH,JP,ICH,Ichihara,1-------,AF,
JPICK,JP,ICK,Ichikawa,1-------,AF,
JPICO,JP,ICO,Ichikikushikino,123-----,RL,3143N 13016E
JPICW,JP,ICW,Ishikariwan Shinko,1-------,RL,4321N 14130E
JPIDA,JP,IDA,Iida,1-------,AF,
JPIDJ,JP,IDJ,Indohji,1-------,AF,
JPIDM,JP,IDM,Iwayadomari,1-------,AF,
JPIEJ,JP,IEJ,Iejima/Okinawa,1--4----,AF,
JPIER,JP,IER,Ieura,1-------,AF,
JPIES,JP,IES,"Ieshima, Hyogo",1-------,AF,
JPIGO,JP,IGO,Igo,1-------,AF,
JPIGR,JP,IGR,Imagire,1-------,AF,
JPIHA,JP,IHA,Niihama,1--4----,AF,
JPIHO,JP,IHO,Ihota,1-------,AF,
JPIIB,JP,IIB,Iibi,1-------,AF,
JPIII,JP,III,Ii,1-------,AF,
JPIIN,JP,IIN,Nishinoomote,1--4----,AF,
JPIKA,JP,IKA,"Ikeda, Kagawa",1-------,AF,
JPIKC,JP,IKC,Ikuchi,1-------,AF,
JPIKD,JP,IKD,"Ikeda, Wakayama",1-------,AF,
JPIKE,JP,IKE,Ikeshima,1-------,AF,
JPIKJ,JP,IKJ,Isshiki,1-------,AF,
JPIKK,JP,IKK,Ikitsuki,1-------,AF,3323N 12926E
JPIKN,JP,IKN,Ikina,1-------,AF,
JPIKR,JP,IKR,Ikara,1-------,AF,
JPIKT,JP,IKT,Ikata,1-------,AF,
JPIKU,JP,IKU,Ikunohama,1-------,AF,
JPIKW,JP,IKW,Ishikawa,1-3-----,RL,2625N 12749E
JPIMA,JP,IMA,Imafuku,1-------,AF,
JPIMB,JP,IMB,Imabari,1-------,AF,
JPIMI,JP,IMI,Imari,1-------,AF,
JPIMM,JP,IMM,Imi,1-------,AF,
JPIMT,JP,IMT,Imazato,1-------,AF,
JPIMZ,JP,IMZ,Imazu,1-------,AF,
JPINA,JP,INA,Ina,1-------,AF,
JPIND,JP,IND,Inonada,1-------,AF,
JPINE,JP,INE,Ine,1-------,AF,
JPING,JP,ING,Inugaura,1-------,AF,
JPINK,JP,INK,"Inokushi, Oita",1-------,AF,
JPINO,JP,INO,Inobe,1-------,AF,
JPINR,JP,INR,Inatori,1-------,AF,
JPINS,JP,INS,Innoshima,1-------,AF,
JPINT,JP,INT,Iinoseto,1-------,AF,
JPINZ,JP,INZ,Inujima,1-------,AF,
JPIOU,JP,IOU,"Iwojima, Kagoshima",1-------,AF,
JPIRK,JP,IRK,Irago,1-------,AF,
JPISA,JP,ISA,Issai,1-------,AF,
JPISB,JP,ISB,Ishiba,1-------,AF,
JPISC,JP,ISC,Ishiwaki,1-------,AF,
JPISD,JP,ISD,Ishida,1-------,AF,
JPISE,JP,ISE,Ise,1-------,AF,
JPISG,JP,ISG,Ishigaki,1-------,AF,2420N 12409E
JPISH,JP,ISH,Ishima,1-------,AF,
JPISI,JP,ISI,Ishikari,1-------,AF,
JPISK,JP,ISK,Iseki,1-------,AF,
JPISM,JP,ISM,Ishinomaki,1-------,AF,
JPISU,JP,ISU,Isuwan,1-------,AF,
JPISX,JP,ISX,Isozaki,1-------,AF,
JPISY,JP,ISY,Isahaya,1-------,AF,
JPITJ,JP,ITJ,"Itoh, Shizuoka",1-------,AF,
JPITK,JP,ITK,Itako,1-------,AF,
JPITO,JP,ITO,Itozaki,1-------,AF,
JPITS,JP,ITS,Itsukushima,1-------,AF,
JPITU,JP,ITU,"Itoh, Shimane",1-------,AF,
JPIUH,JP,IUH,"Inokuchi, Ehime",1-------,AF,
JPIWA,JP,IWA,Iwamatsu,1-------,AF,
JPIWG,JP,IWG,"Iwagi,Ehime",1-------,AF,
JPIWH,JP,IWH,Iwafune,1-------,AF,
JPIWI,JP,IWI,Iwaki,1-------,AF,
JPIWK,JP,IWK,Iwakuni,1-------,AF,
JPIWN,JP,IWN,Iwanai,1-------,AF,
JPIWT,JP,IWT,"Iwojima, Nagasaki",1-------,AF,
JPIWY,JP,IWY,Iwaya,1-------,AF,
JPIYA,JP,IYA,Iya,1-------,AF,
JPIYM,JP,IYM,Iyomishima,1-------,AF,
JPIYO,JP,IYO,Iyo,1-------,AF,
JPIZH,JP,IZH,Izuhara,1-------,AF,
JPIZI,JP,IZI,"Izumi, Nagasaki",1-------,AF,
JPIZM,JP,IZM,"Izumi, Aichi",1-------,AF,
JPIZO,JP,IZO,Izumo,1--4----,AF,
JPIZS,JP,IZS,Izumisano,1-------,AF,
JPIZU,JP,IZU,Izuka,1-------,AF,
JPIZW,JP,IZW,Inazawa,1-3-----,RL,3515N 13647E
JPJKT,JP,JKT,Kotoura,1-------,AF,
JPJKW,JP,JKW,Jokawauchi,1-------,AF,
JPJON,JP,JON,Jonoshita,1-------,AF,
JPJTS,JP,JTS,Joetsu,123-----,RL,3709N 13814E
JPKAA,JP,KAA,Kada,1-------,AF,
JPKAB,JP,KAB,Kabanoki,1-------,AF,
JPKAC,JP,KAC,Kasaura,1-------,AF,
JPKAD,JP,KAD,Kaita,1-------,AF,
JPKAE,JP,KAE,Kashimae,1-------,AF,
JPKAF,JP,KAF,Kafuri,1-------,AF,
JPKAG,JP,KAG,Kawarago,1-------,AF,
JPKAH,JP,KAH,Kamihira,1-------,AF,
JPKAI,JP,KAI,Kainan,1-------,AF,
JPKAJ,JP,KAJ,"Kama, Shimane",1-------,AF,
JPKAM,JP,KAM,Kametoku,1-------,AF,
JPKAN,JP,KAN,Karuno,1-------,AF,
JPKAO,JP,KAO,Kashino,1-------,AF,
JPKAR,JP,KAR,Karatsu,1-------,AF,
JPKAT,JP,KAT,"Katsuura, Wakayama",1-------,AF,
JPKAU,JP,KAU,Kasumigaura,1-3-----,RL,3602N 14013E
JPKAW,JP,KAW,Kawauchi,1-------,AF,
JPKAX,JP,KAX,Komoe,1-------,AF,
JPKAZ,JP,KAZ,Kaizaki,1-------,AF,
JPKBA,JP,KBA,Katasoba,1-------,AF,
JPKBI,JP,KBI,Kobui,1-------,AF,
JPKBK,JP,KBK,Kafuka,1-------,AF,
JPKBM,JP,KBM,Kabashima,1-------,AF,
JPKBR,JP,KBR,Kubura,1-------,AF,
JPKBS,JP,KBS,Kobishima,1-------,AF,
JPKBT,JP,KBT,Kobato,1-------,AF,
JPKBU,JP,KBU,Kubuki,1-------,AF,
JPKCF,JP,KCF,Kuchinofukuura,1-------,AF,
JPKCH,JP,KCH,"Kawachi, Kumamoto",1-------,AF,
JPKCZ,JP,KCZ,Kochi,1--4----,AF,
JPKDA,JP,KDA,Kishiwada,1-------,AF,
JPKDI,JP,KDI,Kodai,1-------,AF,
JPKDJ,JP,KDJ,Kasedo,1-------,AF,
JPKDK,JP,KDK,Kodakashima,1-------,AF,
JPKDM,JP,KDM,"Kodomari, Kumamoto",1-------,AF,
JPKDO,JP,KDO,Kadokura,1-------,AF,
JPKDR,JP,KDR,Katadomari,1-------,AF,
JPKDW,JP,KDW,Kadokawa,1-------,AF,
JPKDX,JP,KDX,Kita/Minamidaito,1-------,AF,
JPKEB,JP,KEB,Kebuki,1-------,AF,
JPKEC,JP,KEC,Kechi,1-------,AF,
JPKEE,JP,KEE,Kameike,1-------,AF,
JPKEG,JP,KEG,Kegoya,1-------,AF,
JPKEJ,JP,KEJ,Keraji,1-------,AF,
JPKEM,JP,KEM,Keruma,1-------,AF,
JPKER,JP,KER,Kakeroma,1-------,AF,
JPKFU,JP,KFU,Kohtsufukae,1-------,AF,
JPKGA,JP,KGA,Kakogawa,1-------,AF,
JPKGB,JP,KGB,Kuka,1-------,AF,
JPKGC,JP,KGC,Koguchi,1-------,AF,
JPKGE,JP,KGE,Kumage,1-------,AF,
JPKGJ,JP,KGJ,Kigasajima,1-------,AF,
JPKGM,JP,KGM,Kagami,1-------,AF,
JPKGO,JP,KGO,Kumago,1-------,AF,
JPKGR,JP,KGR,Kamagari,1-------,AF,
JPKGS,JP,KGS,"Kogushi, Yamaguchi",1-------,AF,
JPKGT,JP,KGT,Kaigata,1-------,AF,
JPKGU,JP,KGU,Kanegusuku,1-------,AF,
JPKHJ,JP,KHJ,Kurimamaehama,1-------,AF,
JPKHM,JP,KHM,"Ohama, Kagoshima",1-------,AF,
JPKHR,JP,KHR,Kihara,1-------,AF,
JPKHS,JP,KHS,Kurahashi,1-------,AF,
JPKIA,JP,KIA,Kiami,1-------,AF,
JPKIB,JP,KIB,Kibe,1-------,AF,
JPKII,JP,KII,Kiire,1-------,AF,
JPKIJ,JP,KIJ,Niigata,1-------,AF,
JPKIK,JP,KIK,Kikuma,1-------,AF,
JPKIM,JP,KIM,Kineshima,1-------,AF,
JPKIN,JP,KIN,Kinwan,1-------,AF,
JPKIR,JP,KIR,"Kitaura, Ehime",1-------,AF,
JPKIS,JP,KIS,Kamaishi,1-------,AF,
JPKIT,JP,KIT,"Kitaura, Miyazaki",1-------,AF,
JPKIW,JP,KIW,Kisawa,1-------,AF,
JPKJA,JP,KJA,Kohjima,1-------,AF,
JPKJD,JP,KJD,Kudadon,1-------,AF,
JPKJG,JP,KJG,"Kaga, Shimane",1-------,AF,
JPKJI,JP,KJI,"Kuji, Iwate",1-------,AF,
JPKJJ,JP,KJJ,Koshima,1-------,AF,
JPKJK,JP,KJK,Kajiki,1-------,AF,
JPKJM,JP,KJM,"Kameura, Kumamoto",1-------,AF,
JPKJN,JP,KJN,Kannonji,1-------,AF,
JPKJO,JP,KJO,Kinjo,1-------,AF,
JPKJR,JP,KJR,Kiriishi,1-------,AF,
JPKJT,JP,KJT,"Kitaura, Akita",1-------,AF,
JPKJU,JP,KJU,"Koura, Kagoshima",1-------,AF,
JPKKA,JP,KKA,Karakuma,1-------,AF,
JPKKB,JP,KKB,Kokubo,1-------,AF,
JPKKE,JP,KKE,Komukae,1-------,AF,
JPKKJ,JP,KKJ,Kitakyushu,12345---,AF,3350N 13050E
JPKKK,JP,KKK,Kushiku,1-------,AF,
JPKKL,JP,KKL,Kohzaki,1-------,AF,
JPKKM,JP,KKM,Katakami,1-------,AF,
JPKKO,JP,KKO,Komenotsu,1-------,AF,
JPKKR,JP,KKR,Kouri,1-------,AF,
JPKKT,JP,KKT,Kamikatetsu,1-------,AF,
JPKKU,JP,KKU,"Kuji, Kagoshima",1-------,AF,
JPKKW,JP,KKW,Kanokawa,1-------,AF,
JPKKX,JP,KKX,Kikaishima,1--4----,AF,2819N 12959E
JPKKZ,JP,KKZ,Kashikojima,1-------,AF,
JPKMD,JP,KMD,Komoda,1-------,AF,
JPKME,JP,KME,Kamae,1-------,AF,
JPKMF,JP,KMF,Kaminofuruta,1-------,AF,
JPKMH,JP,KMH,Kumihama,1-------,AF,
JPKMI,JP,KMI,"Miyazaki, Miyazaki",1--4----,AF,
JPKMJ,JP,KMJ,Kumamoto,1--4----,AF,
JPKMK,JP,KMK,Kaminokae,1-------,AF,
JPKMM,JP,KMM,Kaminato,1-------,AF,
JPKMN,JP,KMN,Kominato,1-------,AF,
JPKMO,JP,KMO,Kamo,1-------,AF,
JPKMR,JP,KMR,"Kameura, Tokushima",1-------,AF,
JPKMS,JP,KMS,Kumeshima,1-------,AF,
JPKMT,JP,KMT,Kimitsu,1-------,AF,
JPKMU,JP,KMU,Kamiura,1-------,AF,
JPKMW,JP,KMW,Kamikawaguchi,1-------,AF,
JPKMX,JP,KMX,"Komatsu, Yamaguchi",1-------,AF,
JPKMY,JP,KMY,Kamiyakunagata,1-------,AF,
JPKNA,JP,KNA,Kuwana,1-------,AF,
JPKNB,JP,KNB,Konbukariishi,1-------,AF,
JPKND,JP,KND,"Kanda, Fukuoka",1-------,AF,
JPKNE,JP,KNE,Kinoe,1-------,AF,
JPKNG,JP,KNG,Kuniga,1-------,AF,
JPKNH,JP,KNH,Kunehama,1-------,AF,
JPKNI,JP,KNI,Konagai,1-------,AF,
