country_code,country_name,year,month,risk_month,conflict_index_real,governance_stability_score,governance_fragility_risk,sanctions_risk,trade_restriction_risk,geo_risk_score_real
,Thailand,2022,7,2022-07-01,0.4304028846052741,0.06309494121172957,0.9369050587882705,0.1,0.1,0.4413874185391773
,Togo,2022,7,2022-07-01,0.35542373025193946,0.06309494121172957,0.9369050587882705,0.1,0.1,0.41139575679784346
,Tunisia,2022,7,2022-07-01,0.31681372534359203,0.06309494121172957,0.9369050587882705,0.1,0.1,0.39595175483450445
,Turkey,2022,7,2022-07-01,0.607883026798372,0.06309494121172957,0.9369050587882705,0.1,0.1,0.5123794754164165
,Uganda,2022,7,2022-07-01,0.4497938887459736,0.06309494121172957,0.9369050587882705,0.1,0.1,0.44914382019545707
,United Arab Emirates,2022,7,2022-07-01,0.1142453103895968,0.06309494121172957,0.9369050587882705,0.1,0.1,0.31492438885290636
,Vietnam,2022,7,2022-07-01,0.06453986766445993,0.06309494121172957,0.9369050587882705,0.1,0.1,0.2950422117628516
,Zambia,2022,7,2022-07-01,0.18761599148646685,0.06309494121172957,0.9369050587882705,0.1,0.1,0.3442726612916544
,Zimbabwe,2022,7,2022-07-01,0.2912588809452561,0.06309494121172957,0.9369050587882705,0.1,0.1,0.38572981707517007
,eSwatini,2022,7,2022-07-01,0.3363899466922444,0.06309494121172957,0.9369050587882705,0.1,0.1,0.4037822433739654
,Algeria,2022,8,2022-08-01,0.223328817180743,0.06309494121172957,0.9369050587882705,0.1,0.1,0.35855779156936485
,Angola,2022,8,2022-08-01,0.40984527699544265,0.06309494121172957,0.9369050587882705,0.1,0.1,0.4331643754952447
,Australia,2022,8,2022-08-01,0.32699533436330325,0.06309494121172957,0.9369050587882705,0.1,0.1,0.40002439844238896
,Bahrain,2022,8,2022-08-01,0.2962149058479529,0.06309494121172957,0.9369050587882705,0.1,0.1,0.3877122270362488
,Bangladesh,2022,8,2022-08-01,0.5351401948094229,0.06309494121172957,0.9369050587882705,0.1,0.1,0.4832823426208368
,Benin,2022,8,2022-08-01,0.2721634920471448,0.06309494121172957,0.9369050587882705,0.1,0.1,0.37809166151592555
,Botswana,2022,8,2022-08-01,0.08056050641991006,0.06309494121172957,0.9369050587882705,0.1,0.1,0.30145046726503166
,Burkina Faso,2022,8,2022-08-01,0.589295648174123,0.06309494121172957,0.9369050587882705,0.1,0.1,0.5049445239667169
,Burundi,2022,8,2022-08-01,0.3825321168374028,0.06309494121172957,0.9369050587882705,0.1,0.1,0.42223911143202875
,Cambodia,2022,8,2022-08-01,0.20328493228282618,0.06309494121172957,0.9369050587882705,0.1,0.1,0.35054023761019815
,Cameroon,2022,8,2022-08-01,0.6047077781425106,0.06309494121172957,0.9369050587882705,0.1,0.1,0.5111093759540719
,Cape Verde,2022,8,2022-08-01,0.1560818335869309,0.06309494121172957,0.9369050587882705,0.1,0.1,0.33165899813184
,Central African Republic,2022,8,2022-08-01,0.3458489681971027,0.06309494121172957,0.9369050587882705,0.1,0.1,0.4075658519759087
,Chad,2022,8,2022-08-01,0.38780230291455803,0.06309494121172957,0.9369050587882705,0.1,0.1,0.4243471858628909
,Comoros,2022,8,2022-08-01,0.1780044604036543,0.06309494121172957,0.9369050587882705,0.1,0.1,0.3404280488585294
,Democratic Republic of Congo,2022,8,2022-08-01,0.6434173368430207,0.06309494121172957,0.9369050587882705,0.1,0.1,0.526593199434276
,Ethiopia,2022,8,2022-08-01,0.6099077731712792,0.06309494121172957,0.9369050587882705,0.1,0.1,0.5131893739655793
,French Polynesia,2022,8,2022-08-01,0.06977951754753543,0.06309494121172957,0.9369050587882705,0.1,0.1,0.2971380717160818
,Gabon,2022,8,2022-08-01,0.1770770860313851,0.06309494121172957,0.9369050587882705,0.1,0.1,0.3400570991096217
,Gambia,2022,8,2022-08-01,0.11480187450799105,0.06309494121172957,0.9369050587882705,0.1,0.1,0.31514701450026406
,Ghana,2022,8,2022-08-01,0.3124711933609839,0.06309494121172957,0.9369050587882705,0.1,0.1,0.39421474204146123
,Guinea,2022,8,2022-08-01,0.28899277800353607,0.06309494121172957,0.9369050587882705,0.1,0.1,0.3848233758984821
,Guinea-Bissau,2022,8,2022-08-01,0.13843227279493284,0.06309494121172957,0.9369050587882705,0.1,0.1,0.3245991738150408
,India,2022,8,2022-08-01,0.7132862404739867,0.06309494121172957,0.9369050587882705,0.1,0.1,0.5545407608866624
,Indonesia,2022,8,2022-08-01,0.5174968979352228,0.06309494121172957,0.9369050587882705,0.1,0.1,0.4762250238711568
,Iraq,2022,8,2022-08-01,0.7021557012597359,0.06309494121172957,0.9369050587882705,0.1,0.1,0.5500885452009621
,Israel,2022,8,2022-08-01,0.3724598218957854,0.06309494121172957,0.9369050587882705,0.1,0.1,0.4182101934553818
,Ivory Coast,2022,8,2022-08-01,0.2838751460108989,0.06309494121172957,0.9369050587882705,0.1,0.1,0.38277632310142723
,Japan,2022,8,2022-08-01,0.3545121016981173,0.06309494121172957,0.9369050587882705,0.1,0.1,0.4110311053763146
,Jordan,2022,8,2022-08-01,0.29194212761847815,0.06309494121172957,0.9369050587882705,0.1,0.1,0.3860031157444589
,Kenya,2022,8,2022-08-01,0.5356895951394514,0.06309494121172957,0.9369050587882705,0.1,0.1,0.4835021027528482
,Kuwait,2022,8,2022-08-01,0.10837957134504451,0.06309494121172957,0.9369050587882705,0.1,0.1,0.31257809323508545
,Lebanon,2022,8,2022-08-01,0.41642193929452387,0.06309494121172957,0.9369050587882705,0.1,0.1,0.4357950404148772
,Lesotho,2022,8,2022-08-01,0.0736615014086572,0.06309494121172957,0.9369050587882705,0.1,0.1,0.2986908652605305
,Liberia,2022,8,2022-08-01,0.1378768244702182,0.06309494121172957,0.9369050587882705,0.1,0.1,0.32437699448515495
,Libya,2022,8,2022-08-01,0.35888996937067724,0.06309494121172957,0.9369050587882705,0.1,0.1,0.41278225244533856
,Madagascar,2022,8,2022-08-01,0.4470210902484336,0.06309494121172957,0.9369050587882705,0.1,0.1,0.44803470079644114
,Malawi,2022,8,2022-08-01,0.2242239807603571,0.06309494121172957,0.9369050587882705,0.1,0.1,0.3589158570012105
,Malaysia,2022,8,2022-08-01,0.17229339942555374,0.06309494121172957,0.9369050587882705,0.1,0.1,0.33814362446728913
,Mali,2022,8,2022-08-01,0.6155076356479461,0.06309494121172957,0.9369050587882705,0.1,0.1,0.5154293189562461
,Mauritania,2022,8,2022-08-01,0.20267208252755325,0.06309494121172957,0.9369050587882705,0.1,0.1,0.350295097708089
,Mauritius,2022,8,2022-08-01,0.19861389029402648,0.06309494121172957,0.9369050587882705,0.1,0.1,0.34867182081467823
